Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,00/00/2009,,,,
Overwatch,overwatch,23/05/2016,ESRB-T,0,1,
Madden NFL 2005,madden-nfl-2005,08/08/2004,ESRB-E,1,1,
Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,00/00/2017,,,,
Dead Island,dead-island,05/09/2011,ESRB-M,1,1,
ArmA 2: Operation Arrowhead,arma-2-operation-arrowhead,28/06/2010,ESRB-M,1,1,
ARK: Survival Evolved,ark-survival-evolved,28/08/2017,ESRB-T,1,1,
Riven: The Sequel to Myst,riven-the-sequel-to-myst,00/00/1997,,,,
StarCraft II: Wings of Liberty,starcraft-ii-wings-of-liberty,26/07/2010,ESRB-T,1,1,
Warcraft III: Reign of Chaos,warcraft-iii-reign-of-chaos,02/07/2002,ESRB-T,1,1,Warcraft
Pitfall!,pitfall,31/08/1982,,1,0,
Professor Layton and the Curious Village,professor-layton-and-the-curious-village,14/02/2007,ESRB-E,1,0,
Madden NFL 07,madden-nfl-07,21/08/2006,ESRB-E,1,1,NFL
Spider-Man: The Movie,spider-man-the-movie,00/00/2002,,,,
Nintendogs + cats,nintendogs-cats,00/00/2011,,,,
The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,19/03/2006,ESRB-M,1,0,
The Legend of Zelda: The Wind Waker,the-legend-of-zelda-the-wind-waker,12/12/2002,ESRB-E,1,1,
Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,00/00/2001,,,,
Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,00/00/2007,,,,
Zelda II: The Adventure of Link,zelda-ii-the-adventure-of-link,13/01/1987,ESRB-E,1,0,
Michael Jackson: The Experience,michael-jackson-the-experience,22/11/2010,ESRB-E10,1,1,
Tom Clancy's The Division,tom-clancys-the-division,00/00/2016,,,,
Need for Speed: Most Wanted,need-for-speed-most-wanted,10/11/2005,ESRB-T,1,1,
Resistance: Fall of Man,resistance-fall-of-man,10/11/2006,ESRB-M,1,1,
Tom Clancy's Rainbow Six Siege,tom-clancys-rainbow-six-siege,30/11/2015,ESRB-M,1,1,
Watch_Dogs,watch-dogs,26/05/2014,ESRB-M,1,1,
Animal Crossing: City Folk,animal-crossing-city-folk,15/11/2008,ESRB-E,1,1,
Starbound,starbound,21/07/2016,PEGI-12,1,1,
Asteroids,asteroids,31/10/1979,ESRB-RP,1,1,
Dragon Quest VII,dragon-quest-vii,25/08/2000,ESRB-T,1,0,
Monster Hunter Generations,monster-hunter-generations,27/11/2015,ESRB-T,1,1,
Batman: Arkham Asylum,batman-arkham-asylum,24/08/2009,ESRB-T,1,0,Batman
God of War II,god-of-war-ii,12/03/2007,ESRB-M,1,0,
NAMCO MUSEUM,namco-museum,27/07/2017,ESRB-T,1,1,
Daxter,daxter,13/03/2006,ESRB-E10,1,0,
Super Paper Mario,super-paper-mario,08/04/2007,ESRB-E,1,0,
Assassin's Creed: Revelations,assassins-creed-revelations,00/00/2011,,,,
Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,16/11/2004,ESRB-M,1,0,
FIFA Soccer 06,fifa-soccer-06,00/00/2005,,,,
Monster Hunter 4 Ultimate,monster-hunter-4-ultimate,10/10/2014,ESRB-T,1,1,
Street Fighter IV,street-fighter-iv,17/07/2008,ESRB-T,1,1,
7 Days to Die,7-days-to-die,12/12/2013,ESRB-M,1,1,
Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,14/11/1989,,1,1,Teenage Mutant Ninja Turtles
Just Cause 2,just-cause-2,22/03/2010,ESRB-M,1,0,
Excitebike,excitebike,29/11/1984,ESRB-E,1,1,
Frogger,frogger,04/06/1981,ESRB-E,1,1,
Madden NFL 2003,madden-nfl-2003,11/08/2002,ESRB-E,1,1,
Assassin's Creed: Unity,assassins-creed-unity,00/00/2014,,,,
Destiny 2,destiny-2,05/09/2017,ESRB-T,1,1,
Half-Life,half-life,26/11/1998,ESRB-M,1,1,
Super Mario World 2: Yoshi's Island,super-mario-world-2-yoshis-island,00/00/1995,,,,
Batman: Arkham Knight,batman-arkham-knight,22/06/2015,ESRB-M,1,0,Batman
FIFA 07 Soccer,fifa-07-soccer,00/00/2006,,,,
The Sims 4,the-sims-4,01/09/2014,ESRB-T,1,0,
Monster Hunter 4,monster-hunter-4,13/09/2013,,1,1,
Street Fighter II Turbo,street-fighter-ii-turbo,10/07/1993,ESRB-RP,1,1,
Assassin's Creed: Origins,assassins-creed-origins,26/10/2017,ESRB-M,1,0,
Far Cry 4,far-cry-4,17/11/2014,ESRB-M,1,1,
Carnival Games,carnival-games,26/08/2007,ESRB-E,1,1,
World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,00/00/2006,,,,
Forza Motorsport 2,forza-motorsport-2,22/05/2007,ESRB-E,1,1,
Namco Museum Vol.3,namco-museum-vol3,00/00/1997,,,,
Tekken Tag Tournament,tekken-tag-tournament,30/06/1999,ESRB-T,1,1,
Golf,golf,30/04/1984,ESRB-E,1,1,
Diablo II,diablo-ii,28/06/2000,ESRB-M,1,1,
Disney's Aladdin,disneys-aladdin,10/11/1993,,1,0,
EyeToy Play,eyetoy-play,00/00/2003,,,,
Just Dance,just-dance,16/11/2009,ESRB-E10,1,1,
Star Fox 64,star-fox-64,26/04/1997,ESRB-E,1,1,
Super Mario Maker,super-mario-maker,09/09/2015,ESRB-E,1,0,
World of Warcraft: Wrath of the Lich King,world-of-warcraft-wrath-of-the-lich-king,12/11/2008,ESRB-T,0,1,Warcraft
The Legend of Zelda: Oracle of Ages,the-legend-of-zelda-oracle-of-ages,26/02/2001,ESRB-E,1,0,
Namco Museum 50th Anniversary,namco-museum-50th-anniversary,29/08/2005,ESRB-E10,1,1,
NBA 2K16,nba-2k16,28/09/2015,ESRB-E10,1,1,
Left 4 Dead 2,left-4-dead-2,16/11/2009,ESRB-M,1,1,
Far Cry 5,far-cry-5,26/03/2018,ESRB-M,1,1,
Battlefield 4,battlefield-4,28/10/2013,ESRB-M,1,1,
Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,00/00/2013,,,,
EA Sports Active,ea-sports-active,18/05/2009,ESRB-E,1,0,
