name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
Crazy Sports Bundle,0,1,11/08/2016,null,null,null
Matthias Sammer Soccer,1,0,31/01/1997,null,null,null
Peking 2.0,null,null,null,null,null,null
Alien Shooter 2 - The Legend,1,0,21/01/2020,null,null,null
Medieval Story,1,0,30/12/2007,null,null,null
Flappy Meatbag,1,0,05/09/2016,null,null,null
BATTER BURST,1,0,16/04/2018,null,null,null
Captain vs Sky Pirates,1,0,06/10/2017,null,null,null
Mario Party 64,1,0,15/02/2020,null,null,null
Bergen Bridge Intermediate 2,null,null,null,null,null,null
Elkrone no Atelier: Dear for Otomate,null,null,null,null,null,null
Mc Coy,null,null,null,null,null,null
Detonate,null,null,30/12/2009,null,null,null
Moero!! Pro Yakyuu,null,null,null,null,null,null
Strush,null,null,null,null,null,null
Waker,null,null,null,null,null,null
CogVR,1,0,29/06/2018,null,null,null
Noel The Mortal Fate Season 7 - end of the paranoid,1,0,09/12/2017,null,null,null
The Spirit Master of Retarnia -Conqueror of the Labyrinth-,1,0,05/12/2018,PEGI-18,null,null
Helpless Zombies,1,0,null,null,null,null
Domo-kun Angry Smashfest!,null,null,null,null,null,null
Jungle Juggle,1,0,null,null,null,null
Vanguardian,1,0,null,null,null,null
Ottifanten: Kommando Stortebeker,null,null,31/01/2001,null,null,null
Apple Jack,1,0,30/04/2010,null,null,null
Fatal Frame: Maiden of Black Water,null,null,21/10/2015,null,null,null
Naruto: Gekitō Ninja Taisen! 3,null,null,19/11/2004,null,null,null
Mahjong Fight Club: Shinsei Zenkoku Taisen Han,null,null,null,null,null,null
Heroes of Arca,1,0,15/02/2017,null,null,null
GHOSTLOP,null,null,31/12/2003,null,null,null
ACA NEOGEO MONEY PUZZLE EXCHANGER,1,0,27/06/2018,ESRB-T,null,null
Space Station,null,null,null,null,null,null
God of War: Digital Deluxe Edition,1,0,19/04/2018,ESRB-M,null,null
To The Rescue! 3,null,null,null,null,null,null
RunningJoe,1,0,30/10/2016,null,null,null
Advanced Pinball Simulator,null,null,null,null,null,null
Psyborg,null,null,null,null,null,null
Mummy: Tomb of the Dragon Emperor,null,null,null,null,null,null
Hard Rock Racing,null,null,null,null,null,null
Nyanco Channel,1,0,27/02/2020,null,null,null
